feature,importance
hours_gap,0.2322165505233391
daily_hours_num,0.14595224549969024
hope_job_type_match,0.10223599667314992
hope_condition_match,0.07267382761926183
commute_gap,0.06707879788734367
max_commute_rank,0.054508188027013224
health_status_양호,0.05444336840793714
medicine_count_num,0.05321150956743834
max_hours_num,0.0369309454993032
health_status_주의,0.03098049534593358
job_commute_rank,0.024268429237489866
closed_flag,0.02127320459828901
health_status_위험,0.020940962364201482
walking_conflict,0.013258409900502461
heavy_lifting_conflict,0.010674478194780412
disease_intensity_conflict,0.009571403063088395
outdoor_conflict,0.006215368665082525
physical_intensity_낮음,0.005718327899573131
work_environment_야외,0.005619652838683551
work_environment_실내,0.005104043565243604
work_environment_혼합,0.004514559856369115
job_type_사무 보조,0.004104787996535645
job_type_안내,0.003153356230407345
physical_intensity_높음,0.0030989158052899713
job_type_공익활동,0.0027601072294644417
job_type_물류 보조,0.0027104221091461787
physical_intensity_중간,0.0019288607331280736
recent_fall_movement_conflict,0.0014183841694046305
job_type_환경 정비,0.0012178230096995648
health_high_intensity_conflict,0.001086610546265772
job_type_급식 조리 보조,0.0006698711011934383
standing_conflict,0.0004600958357510896
